Field_ID,FieldCall,Desc,BaseMapUnit,MapUnit,SiteSeries,Association,ForNonfor,Type,Type2,Type3,Full,Alliance,Class,Group,Realm,ExpectedPhysiog,Will to check,order,ColorType,RGB_Colour,Class_ID,Group_ID,Realm_ID,Physiog_ID,Map_ID,Notes
57,ESSFmcw/Wf03,,Wf03,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,28,23,,1100,1000,4,1,1100,
58,ESSFmcw/Wf04,,Wf04,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,29,23,,1100,1000,4,1,1100,
,ESSFmcw/Wf09,,Wf09,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,,2,,,,,,,,,1100,
59,ESSFmcw/Wf12,,Wf12,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,30,23,,1100,1000,4,1,1100,
,ESSFmcw/Wf13,,Wf13,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,,2,,,,,,,,,1100,
,SBSmc2/Wf,,Wf,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,,2,,,,,,,,,,
60,Wf,,Wf,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,59,23,,1100,1000,4,2,1100,
Adrian/amenita,Wf/b,Photo attached,Wf,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,59,23,,1100,1000,4,2,1100,
74,Wf01,,Wf01,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,75,,,1100,1000,4,2,1100,
,Wf02,,Wf02,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,,,,,,,,,,,
73,Wf04,,Wf04,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,73,,,1100,1000,4,2,1100,
,ESSFmc/Wm,,Wm,Wm,,Wm,Nfor,Nfor,Nfor,Nfor,W,,Wm,M,W,2,,,,,,,,,,
,SBSmc2/Wm,,Wm,Wm,,Wm,Nfor,Nfor,Nfor,Nfor,W,,Wm,M,,2,,,,,,,,,,
61,Wm,,Wm,Wm,,Wm,Nfor,Nfor,Nfor,Nfor,W,,Wm,M,W,2,,60,25,,1200,1000,4,2,1200,
Adrian/amenita,12,LEDUGRO swamp,Ws,Ws,,,Nfor,Treed,For,For,W,,Ws,,,,,,,,,,,,,
,ESSFmc/Ws,,Ws,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Ws,M,W,3,,,,,,,,,,
62,ESSFmc/Ws13,,Ws13,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Ws,M,W,3,,61,21,,1300,1000,4,2,1300,
63,ESSFmcw/Ws13,,Ws13,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,31,21,,1300,1000,4,1,1300,
,SBSmc2/Ws,,Ws,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,,,Ws,M,,3,,,,,,,,,,
will/hardy,Swamp,,Ws,Ws,,,Nfor,Nfor,Nfor,Nfor,W,,Ws,,,,,,,,,,,,,
?,Was,,Ws,Ws,,,Nfor,Nfor,Nfor,Nfor,W,,Ws,,,,,,,,,,,,,
64,Ws,,Ws,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W_t,,Ws,M,W,3,,62,21,,1300,1000,4,2,1300,
,ws,,Ws,Ws,,,Nfor,Nfor,Nfor,Nfor,W,,Ws,,,,,,,,,,,,,
